"","p_situ","p_initialQ","p_inversion","mu_dur","sigmadur","mu_contour","sigmacontour","logw"
"1",0.00312594471904966,0.00311451955132247,0.00312315077101351,122.768840691955,4.33796448301548,34.7636056836074,4.49094740457302,-1.83206309998731
"2",0.999392753222011,0.000588320931295447,0.999397934068601,73.2291939818988,3.88960271207404,2.30603318222461,3.56659815723492,-0.174882082799705
"3",0.500143998666803,0.496601034333461,0.504025210897891,110.069390392663,3.96387275487866,-0.438116811952131,3.98226186150916,-14.6733752623013
"4",0.488035755925553,0.499785641713893,0.508486475790016,125.479504822707,4.00879740755055,-0.697449493414421,4.03040467916507,-21.8680371313368
"5",0.499467845214935,0.503793395712885,0.499998593087841,55.4718581039519,3.99901057125729,-0.155212514127033,3.94665432495696,-28.8545017390469
"6",0.510746114207737,0.503460764213372,0.503299821570393,66.4204037783324,3.97781328904208,-0.403736215283097,4.01301692580056,-36.4603265603107
"7",0.497664044680102,0.500569270417695,0.498543375266616,95.5819108978108,3.94333010505456,0.150795111565148,3.95026487753473,-43.4157669851891
"8",0.497468906305259,0.494779322941923,0.494765332189906,166.394680234342,4.04301029614067,-0.246844887925344,3.97170913823555,-50.7465341889807
"9",0.492295069039969,0.498024959056898,0.496473308209464,73.8914617856596,3.90525729257948,-0.0922148604185703,3.93132125876812,-57.7415145310756
"10",0.49915785040165,0.498879834783736,0.500821648958437,147.505559983935,4.06478106020266,0.0435258897032714,3.97779470838906,-64.7225343960253
